城市|职位名称|公司名称|薪资|地点|经验|学历|公司性质
上海|php后端开发工程师（熟悉Python或Java）|软通动力信息技术(集团)股份有限公司|2-2.5万|上海·浦东·潍坊新村|3-5年|本科|民营
上海|java/C/C++/python/测试工程师|外企德科数字技术有限公司|1.2-1.7万·14薪|上海·浦东·金桥|经验不限|本科|合资
上海|python后端开发工程师(AI方向)|四川君诚互动科技有限公司|1.5-2.5万|上海·浦东·三林|5-10年|大专|民营
上海|Python后端实习生|广州掌动智能科技有限公司|140-160元/天|上海·静安·芷江西路|经验不限|本科|民营
上海|(双休+六险一金，14-16薪）Java/Python/C/C++/JS|外企德科数字技术有限公司|1.8-3.5万·14薪|上海·青浦·金泽|经验不限|本科|合资
上海|Python开发工程师|中软国际|面议|上海·浦东·金桥|1-3年|本科|民营
上海|Python开发(外包国有企业）（现场面试）|北京青钱信息技术有限公司|1.5-1.6万|上海·浦东·潍坊新村|3-5年|大专|民营
上海|Java/C/C++/Python/Go开发工程师|外企德科数字技术有限公司|1.5-3万|上海·青浦·金泽|经验不限|本科|合资
上海|python自动化测试工程师|南京迈特望科技股份有限公司|1-1.7万|上海·浦东·张江|5-10年|本科|民营
上海|Python开发|软通动力信息技术(集团)股份有限公司|1.2-1.8万|上海·青浦·金泽|3-5年|本科|民营
上海|股票+年终奖Java/C++/C/Python/Web|外企德科数字技术有限公司|1.8-3.5万·14薪|上海·青浦·金泽|经验不限|本科|合资
上海|python工程师|旺旺集团|1.2-1.6万|上海·闵行·虹桥|1-3年|学历不限|民营
上海|后端开发（python/java+PHP）|软通动力信息技术(集团)股份有限公司|2-2.2万|上海·浦东·潍坊新村|3-5年|本科|民营
上海|软件开发工程师（Java/C++/C测试/python/JS/）|外企德科数字技术有限公司|1.5-3万·14薪|上海·浦东·金桥|经验不限|本科|合资
上海|数据开发-python 英语流利|大连思泰克科技有限公司|1.7-3万|上海·浦东·张江|5-10年|本科|民营
上海|python算法工程师|软通动力信息技术(集团)股份有限公司|1.6-1.7万|上海·徐汇·龙华|3-5年|本科|民营
上海|Java/python/C/C++/JS前后端软件开发工程师|外企德科数字技术有限公司|1.3-2.6万·14薪|上海·青浦·金泽|经验不限|本科|合资
上海|Python开发工程师|上海洛书投资管理有限公司|2-4万|上海·浦东·花木|3-5年|学历不限|民营
上海|python后端开发工程师|陕西慧云联达企业管理咨询有限公司|2-4万·16薪|上海·浦东·金桥|经验不限|本科|民营
上海|Java/C/C++/Python/前端/测试（接受应届）|外企德科数字技术有限公司|1.6-2.4万·14薪|上海·浦东·金桥|经验不限|本科|合资
上海|python自动化测试工程师|上海沸橙信息科技有限公司|1.5-2万|上海·嘉定·马陆|3-5年|本科|民营
上海|AI运营 - Python 智能体建设|百融云创|1.5-2.5万·13薪|上海·浦东·陆家嘴|3-5年|本科|民营
上海|软件开发（多语言 Java Python C/C++js等测试|外企德科数字技术有限公司|1.2-2.4万|上海·青浦·金泽|经验不限|本科|合资
上海|python自动化测试工程师|软通动力信息技术(集团)股份有限公司|1-1.4万|上海·浦东·金桥|1-3年|本科|民营
上海|Python开发（本科/周末双休/长期稳定）|上海汉朔信息科技有限公司|1.2-1.5万|上海·黄浦·小东门|1-3年|本科|民营
上海|软件开发工程师(Java/C/C++/Python/Js)|外企德科数字技术有限公司|1.5-3万|上海·青浦·金泽|经验不限|本科|合资
上海|python自动化测试|软通动力信息技术(集团)股份有限公司|1-1.3万|上海·青浦·金泽|1-3年|本科|民营
上海|python开发工程师|上海微创软件股份有限公司|1.6-2万|上海·闵行·吴泾|3-5年|本科|合资
上海|JAVA/C++/C/Python 14薪双休 应届生可投|外企德科数字技术有限公司|1.5-3万|上海·浦东·花木|经验不限|本科|合资
上海|python实习生软件测试|上海聚界信息科技有限公司|200-250元/天|上海·闵行·虹桥|经验不限|本科|民营
上海|python自动化测试工程师|软通动力信息技术(集团)股份有限公司|1-1.3万|上海·浦东·金桥|1-3年|本科|民营
上海|月薪15-35k/java/c++/python后端开发/|外企德科数字技术有限公司|1.7-2.7万|上海·青浦·金泽|经验不限|本科|合资
上海|Python开发工程师（医疗AI数据分析方向）|郑州海奥软件科技有限公司|1.4-1.6万|上海·浦东·张江|3-5年|大专|民营
上海|python|中电金信软件有限公司|1.6-1.7万|上海·嘉定·徐行|3-5年|本科|国企
上海|Java/Python/C/C++/Web/测试工程师|外企德科数字技术有限公司|1.6-3万·16薪|上海·青浦·金泽|经验不限|本科|合资
上海|python后端开发工程师|软通动力信息技术(集团)股份有限公司|1.8-2.2万|上海·浦东·潍坊新村|3-5年|本科|民营
上海|Python编程工程师|上海察微电子技术有限公司|1-1.1万|上海·浦东·洋泾|1-3年|学历不限|民营
上海|Java/C/C++/python/web|外企德科数字技术有限公司|1.4-2.4万|上海·浦东·金桥|1-3年|本科|合资
上海|python自动化测试工程师|软通动力信息技术(集团)股份有限公司|9000-14000元|上海·浦东·金桥|1-3年|本科|民营
上海|python开发|湖南拓维云创科技有限责任公司|1-1.5万|上海·浦东·金桥|1-3年|本科|民营
上海|java/c++/C/Python/前端开发工程师|外企德科数字技术有限公司|1.6-3万·14薪|上海·浦东·金桥|经验不限|本科|合资
上海|嵌入式测试开发工程师-python|安徽中科国创高可信软件有限公司|1.2-1.8万|上海·闵行·吴泾|1-3年|本科|民营
上海|Python开发|软通动力信息技术(集团)股份有限公司|1.6-2.4万|上海·闵行·新虹|3-5年|本科|民营
上海|研发工程师（Java/C++/Python/前端/测试等）|外企德科数字技术有限公司|1.2-2万·14薪|上海·浦东·金桥|经验不限|本科|合资
上海|python实习生|广州全芃信息技术有限公司|100-200元/天|上海·嘉定·南翔|经验不限|本科|民营
上海|python后端开发工程师|软通动力信息技术(集团)股份有限公司|9000-18000元|上海·青浦·金泽|1-3年|本科|民营
上海|Python开发工程师|外企德科数字技术有限公司|1.5-1.8万|上海·虹口·北外滩|1-3年|本科|合资
上海|python工程师|桑万(上海)人工智能科技有限公司|1.2-1.4万|上海·浦东·张江|3-5年|本科|民营
上海|python开发|软通动力信息技术(集团)股份有限公司|1.1-1.3万|上海·浦东·金桥|1-3年|本科|民营
上海|C/C++/python/js/GO/测试（所有语言都有招聘）|外企德科数字技术有限公司|1.3-2.6万·14薪|上海·青浦·金泽|经验不限|本科|合资
上海|python工程师/算法工程师|上海岳启信息技术有限公司|1-1.6万|上海·浦东·陆家嘴|1-3年|本科|民营
上海|python开发（学信本·远程面试）|软通动力信息技术(集团)股份有限公司|1.1-1.3万|上海·浦东·金桥|1-3年|本科|民营
上海|软件工程（Java/js/C/C++/Python）六险一金|外企德科数字技术有限公司|1.4-2.8万·14薪|上海·青浦·金泽|经验不限|本科|合资
上海|Python后端工程师|上海沁诚信息科技有限公司|1.2-1.8万|上海·徐汇·徐家汇|1-3年|本科|民营
